ItemCodigo;CompetenciaCodigo;UnidadCodigo;ObjetivoCodigo;GradoCodigo;DificultadItemCodigo;ItemOmision;ItemBiserial;ItemDificultad;ItemTRIa;ItemTRIb;ItemTRIc;ItemProbAdmin;AreaCodigo;SubObjetivoCodigo
MAT918;18;6;0;4;0;0;0;0;1.308;-0.743;0;1;1;0
MAT919;20;6;34;4;0;0;0;0;1.338;-1.197;0;1;1;0
MAT920;17;6;0;4;0;0;0;0;0.827;0.024;0;1;1;0
MAT921;20;9;0;4;0;0;0;0;1.243;0.042;0;1;1;0
MAT922;20;11;41;3;2;0;0;0;0.842;0.19;0;1;1;31
MAT930;20;8;47;5;0;0;0;0;1.181;-0.202;0;1;1;130
MAT932;20;12;44;6;0;0;0;0;1.199;-0.905;0;1;1;35
MAT934;20;6;34;5;0;0;0;0;1.626;-0.522;0;0.395934;1;0
MAT935;20;9;0;5;1;0;0;0;1.624;-0.282;0;0.104924;1;0
MAT936;20;11;41;5;2;0;0;0;0.757;-0.56;0;1;1;31
MAT937;20;6;0;5;1;0;0;0;0.807;0.314;0;1;1;0
MAT939;20;12;44;5;2;0;0;0;1.173;-0.188;0;1;1;35
MAT940;18;6;30;6;0;0;0;0;1.044;0.289;0;1;1;118
MAT941;17;6;0;6;1;0;0;0;0.787;-0.31;0;1;1;0
MAT942;18;6;30;6;0;0;0;0;0.993;1.782;0;1;1;66
MAT943;18;8;48;6;0;0;0;0;0.791;0.152;0;1;1;135
MAT945;20;9;0;6;0;0;0;0;0.514;0.969;0;1;1;0
MAT946;18;11;42;6;2;0;0;0;0.546;-0.962;0;1;1;1
MAT948;20;9;39;6;0;0;0;0;0.798;-0.234;0;1;1;29
MAT95;20;12;44;5;0;0.01;0.44;0.34;0.991;-0.249;0;1;1;35
MAT951;18;12;43;5;2;0;0;0;0.565;1.094;0;1;1;8
MAT952;18;12;43;6;3;0;0;0;0.346;1.697;0;1;1;8
MAT954;19;9;32;3;3;0;0;0;4.132;-1.277;0;0.113793;1;56
MAT959;17;6;0;6;0;0;0;0;0.825;-0.093;0;1;1;0
MAT960;17;6;0;3;0;0;0;0;1.299;-0.212;0;1;1;0
MAT964;17;6;0;5;2;0;0;0;0.326;2.831;0;1;1;0
MAT965;18;6;44;3;3;0;0;0;2.042;-0.85;0;0.150411;1;111
MAT967;18;12;43;3;3;0;0;0;0.953;-1.374;0;1;1;2
MAT97;18;6;30;5;0;0.02;0.35;0.31;0.932;0.221;0;1;1;118
MAT970;18;12;43;4;0;0;0;0;0.594;1.173;0;1;1;8
MAT978;20;6;44;3;2;0;0;0;4.088;-1.545;0;0.1737;1;111
MAT979;20;6;44;3;2;0;0;0;1.265;-1.904;0;1;1;111
MAT98;18;6;30;6;0;0.03;0.47;0.25;0.651;1.524;0;1;1;118
MAT980;18;12;44;3;3;0;0;0;1.312;-0.286;0;0.931931;1;1
MAT981;18;6;30;6;3;0;0;0;0.972;0.402;0;1;1;118
MAT99;20;8;47;3;0;0;0;0;1.513;-0.414;0;0.114861;1;130
U2A1I86;18;6;30;5;0;0;0;0;1.528;0.664;0;0.232099;1;66
